Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T12:5.:4......5..-04:00S03785,2025-09-07 12:5.:4......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run4_baseline_RODOS_09072025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,578.42942348,0.67082039,0.90637168
0.90000000,23.13717694,1.00000000,492.72502007,0.99498744,1.13074934
1.10000000,32.99167734,1.20000000,441.23432945,1.19582607,1.21634810
1.30000000,41.81636393,1.40000000,394.42217451,1.39642400,1.26930156
1.50000000,49.70480742,1.65000000,344.00465696,1.64316767,1.30335657
1.80000000,60.02494713,2.00000000,281.35015931,1.98997487,1.29133490
2.20000000,71.27895350,2.40000000,216.66793432,2.39165215,1.19457446
2.60000000,79.94567087,2.85000000,154.93931936,2.83901391,1.01415548
3.10000000,87.69263684,3.40000000,95.81318300,3.38673884,0.74815054
3.70000000,93.44142782,4.00000000,52.15636962,3.98873414,0.47947585
4.30000000,96.57081000,4.65000000,26.08470123,4.63680925,0.27876121
5.00000000,98.39673909,5.50000000,10.84956378,5.47722558,0.13702189
6.00000000,99.48169546,6.75000000,2.97007500,6.70820393,0.04597164
7.50000000,99.92720671,8.25000000,0.48528858,8.21583836,0.00919325
9.00000000,100.00000000,9.75000000,0.00000000,9.72111105,0.00000000
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
