Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T12:2.:..........-04:00S03785,2025-09-07 12:2.:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run4_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,13.46554118,0.67082039,0.02109987
0.90000000,0.53862165,1.00000000,21.51592500,0.99498744,0.04937666
1.10000000,0.96894015,1.20000000,26.61021324,1.19582607,0.07335622
1.30000000,1.50114441,1.40000000,31.31037181,1.39642400,0.10076083
1.50000000,2.12735185,1.65000000,36.48664388,1.64316767,0.13823972
1.80000000,3.22195116,2.00000000,42.87217249,1.98997487,0.19677377
2.20000000,4.93683806,2.40000000,49.20818316,2.39165215,0.27130382
2.60000000,6.90516539,2.85000000,55.10050562,2.83901391,0.36066042
3.10000000,9.66019067,3.40000000,60.72734355,3.38673884,0.47418521
3.70000000,13.30383129,4.00000000,64.94548153,3.98873414,0.59704673
4.30000000,17.20056018,4.65000000,67.34513326,4.63680925,0.71970196
5.00000000,21.91471951,5.50000000,68.07347124,5.47722558,0.85971710
6.00000000,28.72206663,6.75000000,66.67617451,6.70820393,1.03203228
7.50000000,38.72349281,8.25000000,62.50360328,8.21583836,1.18406074
9.00000000,48.09903330,9.75000000,56.58099832,9.72111105,1.26774559
10.50000000,56.58618305,11.50000000,48.73234913,11.45643924,1.28716032
12.50000000,66.33265287,13.75000000,38.96508855,13.69306394,1.23024992
15.00000000,76.07392501,16.50000000,29.07587870,16.43167673,1.10161990
18.00000000,84.79668862,19.50000000,20.38079248,19.44222210,0.91329812
21.00000000,90.91092636,23.00000000,12.47297196,22.91287847,0.65889352
25.00000000,95.90011515,27.50000000,5.63537004,27.38612788,0.35585257
30.00000000,98.71780017,33.00000000,1.98429489,32.86335345,0.15036097
36.00000000,99.90837710,39.50000000,0.13088985,39.34463115,0.01187349
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
