Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T12:5.:..........-04:00S03785,2025-09-07 12:5.:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run._baseline_RODOS_09072025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,587.13176018,0.67082039,0.92000783
0.90000000,23.48527041,1.00000000,495.82373432,0.99498744,1.13786055
1.10000000,33.40174509,1.20000000,441.09493486,1.19582607,1.21596383
1.30000000,42.22364379,1.40000000,391.95150754,1.39642400,1.26135063
1.50000000,50.06267394,1.65000000,339.80425197,1.64316767,1.28744217
1.80000000,60.25680150,2.00000000,276.11190473,1.98997487,1.26729248
2.20000000,71.30127769,2.40000000,211.53678098,2.39165215,1.16628441
2.60000000,79.76274893,2.85000000,151.02851241,2.83901391,0.98855729
3.10000000,87.31417455,3.40000000,94.01823158,3.38673884,0.73413478
3.70000000,92.95526844,4.00000000,52.38362414,3.98873414,0.48156501
4.30000000,96.09828589,4.65000000,27.43535120,4.63680925,0.29319529
5.00000000,98.01876048,5.50000000,12.35917500,5.47722558,0.15608715
6.00000000,99.25467798,6.75000000,3.90787323,6.70820393,0.06048714
7.50000000,99.84085896,8.25000000,0.86081380,8.21583836,0.01630715
9.00000000,99.96998103,9.75000000,0.20012645,9.72111105,0.00448400
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
