Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-09T16:5.:..........-04:00S03785,2025-09-09 16:5.:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run8_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,74.63675375,0.67082039,0.11695228
0.90000000,2.98547015,1.00000000,158.47232181,0.99498744,0.36367643
1.10000000,6.15491659,1.20000000,204.83850527,1.19582607,0.56467711
1.30000000,10.25168669,1.40000000,238.25978182,1.39642400,0.76675079
1.50000000,15.01688233,1.65000000,261.20051802,1.64316767,0.98963024
1.80000000,22.85289787,2.00000000,272.21188671,1.98997487,1.24939226
2.20000000,33.74137334,2.40000000,266.11022791,2.39165215,1.46716902
2.60000000,44.38578245,2.85000000,240.18164709,2.83901391,1.57210923
3.10000000,56.39486481,3.40000000,194.07420928,3.38673884,1.51541488
3.70000000,68.03931737,4.00000000,141.42138595,3.98873414,1.30009317
4.30000000,76.52460052,4.65000000,95.94927174,4.63680925,1.02538782
5.00000000,83.24104954,5.50000000,58.77789866,5.47722558,0.74232096
6.00000000,89.11883941,6.75000000,31.59245315,6.70820393,0.48899673
7.50000000,93.85770738,8.25000000,17.08597852,8.21583836,0.32367472
9.00000000,96.42060416,9.75000000,10.41868316,9.72111105,0.23343949
10.50000000,97.98340663,11.50000000,5.72352607,11.45643924,0.15117465
12.50000000,99.12811185,13.75000000,2.21169322,13.69306394,0.06983008
15.00000000,99.68103515,16.50000000,0.79857557,16.43167673,0.03025624
18.00000000,99.92060782,19.50000000,0.26464059,19.44222210,0.01185900
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
