Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-05T11:3.:..........-04:00S03785,2025-09-05 11:3.:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run7_baseline_RODOS_09052025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,595.28027560,0.67082039,0.93277617
0.90000000,23.81121102,1.00000000,501.62648434,0.99498744,1.15117722
1.10000000,33.84374071,1.20000000,445.48481681,1.19582607,1.22806539
1.30000000,42.75343705,1.40000000,395.12068432,1.39642400,1.27154945
1.50000000,50.65585073,1.65000000,341.76477225,1.64316767,1.29487015
1.80000000,60.90879390,2.00000000,276.69704222,1.98997487,1.26997813
2.20000000,71.97667559,2.40000000,210.90033228,2.39165215,1.16277543
2.60000000,80.41268888,2.85000000,149.49386402,2.83901391,0.97851225
3.10000000,87.88738208,3.40000000,91.90351254,3.38673884,0.71762215
3.70000000,93.40159283,4.00000000,50.22910728,3.98873414,0.46175844
4.30000000,96.41533927,4.65000000,25.80983206,4.63680925,0.27582374
5.00000000,98.22202752,5.50000000,11.50740841,5.47722558,0.14532997
6.00000000,99.37276836,6.75000000,3.48843806,6.70820393,0.05399501
7.50000000,99.89603407,8.25000000,0.69310623,8.21583836,0.01313012
9.00000000,100.00000000,9.75000000,0.00000000,9.72111105,0.00000000
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
