Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-07T12:01:23.6140618-04:00S03785,2025-07-07 12:01:23.6140,H3113,PAQXOS 5.1,"Chen, Ziting",,LYS_Sugars_Pre_IGC_Run9_Rep2,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.00571656,0.67082039,0.00000896
0.90000000,0.00022866,1.00000000,34.94924654,0.99498744,0.08020465
1.10000000,0.69921359,1.20000000,112.27373437,1.19582607,0.30950435
1.30000000,2.94468828,1.40000000,183.23650145,1.39642400,0.58967876
1.50000000,6.60941831,1.65000000,234.52983939,1.64316767,0.88858101
1.80000000,13.64531349,2.00000000,269.65535197,1.98997487,1.23765833
2.20000000,24.43152757,2.40000000,279.73697689,2.39165215,1.54229858
2.60000000,35.62100665,2.85000000,260.41063412,2.83901391,1.70451809
3.10000000,48.64153835,3.40000000,215.37294331,3.38673884,1.68172456
3.70000000,61.56391495,4.00000000,159.61158573,3.98873414,1.46731649
4.30000000,71.14061009,4.65000000,109.72644846,4.63680925,1.17262134
5.00000000,78.82146149,5.50000000,67.00934606,5.47722558,0.84627799
6.00000000,85.52239609,6.75000000,37.00077110,6.70820393,0.57270817
7.50000000,91.07251176,8.25000000,24.27414774,8.21583836,0.45984653
9.00000000,94.71363392,9.75000000,16.91955152,9.72111105,0.37909700
10.50000000,97.25156665,11.50000000,9.03406249,11.45643924,0.23861535
12.50000000,99.05837914,13.75000000,2.98390408,13.69306394,0.09421120
15.00000000,99.80435517,16.50000000,0.65214945,16.43167673,0.02470848
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
