Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-02T14:58:52.9466342-04:00S03785,2025-07-02 14:58:52.9466,H3113,PAQXOS 5.1,"Romero-Gonzalez, Mariana",,LYS_Sugars_Pre_IGC_Run3_Rep1,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.00177362,0.67082039,0.00000278
0.90000000,0.00007094,1.00000000,25.66887868,0.99498744,0.05890723
1.10000000,0.51344852,1.20000000,103.58937200,1.19582607,0.28556422
1.30000000,2.58523596,1.40000000,185.96860755,1.39642400,0.59847103
1.50000000,6.30460811,1.65000000,245.88749263,1.64316767,0.93161262
1.80000000,13.68123289,2.00000000,287.38251625,1.98997487,1.31902209
2.20000000,25.17653354,2.40000000,300.09453910,2.39165215,1.65453772
2.60000000,37.18031510,2.85000000,280.31100277,2.83901391,1.83477597
3.10000000,51.19586524,3.40000000,231.25639837,3.38673884,1.80574941
3.70000000,65.07124914,4.00000000,168.54610569,3.98873414,1.54945193
4.30000000,75.18401548,4.65000000,110.90501516,4.63680925,1.18521641
5.00000000,82.94736655,5.50000000,61.69070973,5.47722558,0.77910759
6.00000000,89.11643752,6.75000000,29.44362255,6.70820393,0.45573654
7.50000000,93.53298090,8.25000000,18.05182562,8.21583836,0.34197161
9.00000000,96.24075474,9.75000000,12.75942620,9.72111105,0.28588584
10.50000000,98.15466867,11.50000000,6.59073008,11.45643924,0.17407998
12.50000000,99.47281469,13.75000000,1.79166765,13.69306394,0.05656856
15.00000000,99.92073160,16.50000000,0.26422799,16.43167673,0.01001101
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
