Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-05T11:20:46.0421522-04:00S03785,2025-09-05 11:20:46.0421,H3113,PAQXOS 5.1,phar-brunaughuser,,Run3_baseline_RODOS_09052025_rep2,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,532.60130035,0.67082039,0.83456117
0.90000000,21.30405201,1.00000000,462.70767932,0.99498744,1.06186287
1.10000000,30.55820560,1.20000000,420.29778873,1.19582607,1.15863246
1.30000000,38.96416138,1.40000000,380.89344045,1.39642400,1.22576434
1.50000000,46.58203018,1.65000000,337.03966284,1.64316767,1.27696777
1.80000000,56.69322007,2.00000000,281.05918768,1.98997487,1.28999941
2.20000000,67.93558758,2.40000000,222.05552993,2.39165215,1.22427836
2.60000000,76.81780877,2.85000000,163.97616706,2.83901391,1.07330618
3.10000000,85.01661713,3.40000000,106.52821296,3.38673884,0.83181810
3.70000000,91.40830990,4.00000000,62.07620843,3.98873414,0.57066938
4.30000000,95.13288241,4.65000000,33.61913655,4.63680925,0.35927999
5.00000000,97.48622197,5.50000000,15.48435856,5.47722558,0.19555588
6.00000000,99.03465782,6.75000000,5.14556866,6.70820393,0.07964454
7.50000000,99.80649312,8.25000000,1.29004585,8.21583836,0.02443847
9.00000000,100.00000000,9.75000000,0.00000000,9.72111105,0.00000000
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
