Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-10T15:..:..........-04:00S03785,2025-09-10 15:..:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run6_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,15.07215297,0.67082039,0.02361735
0.90000000,0.60288612,1.00000000,113.97865285,0.99498744,0.26156838
1.10000000,2.88245918,1.20000000,175.85282784,1.19582607,0.48477246
1.30000000,6.39951573,1.40000000,219.66875380,1.39642400,0.70692245
1.50000000,10.79289081,1.65000000,251.58440213,1.64316767,0.95319693
1.80000000,18.34042287,2.00000000,271.00239057,1.98997487,1.24384094
2.20000000,29.18051850,2.40000000,270.97596477,2.39165215,1.49399572
2.60000000,40.01955709,2.85000000,248.87388956,2.83901391,1.62900431
3.10000000,52.46325156,3.40000000,204.41368660,3.38673884,1.59614997
3.70000000,64.72807276,4.00000000,151.21647686,3.98873414,1.39013988
4.30000000,73.80106137,4.65000000,104.21628554,4.63680925,1.11373550
5.00000000,81.09620136,5.50000000,65.05231048,5.47722558,0.82156210
6.00000000,87.60143241,6.75000000,36.18362146,6.70820393,0.56006011
7.50000000,93.02897563,8.25000000,20.73015284,8.21583836,0.39270952
9.00000000,96.13849855,9.75000000,12.63430883,9.72111105,0.28308248
10.50000000,98.03364488,11.50000000,6.37652990,11.45643924,0.16842234
12.50000000,99.30895086,13.75000000,2.08560890,13.69306394,0.06584921
15.00000000,99.83035308,16.50000000,0.50068145,16.43167673,0.01896970
18.00000000,99.98055752,19.50000000,0.06480827,19.44222210,0.00290417
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
