Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-10T15:4.:..........-04:00S03785,2025-09-10 15:4.:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run6_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,18.07597528,0.67082039,0.02832420
0.90000000,0.72303901,1.00000000,122.20962086,0.99498744,0.28045754
1.10000000,3.16723143,1.20000000,184.36155241,1.19582607,0.50822841
1.30000000,6.85446248,1.40000000,228.72745482,1.39642400,0.73607453
1.50000000,11.42901157,1.65000000,260.46067537,1.64316767,0.98682714
1.80000000,19.24283183,2.00000000,278.82742023,1.98997487,1.27975609
2.20000000,30.39592864,2.40000000,277.07037613,2.39165215,1.52759657
2.60000000,41.47874369,2.85000000,252.58845860,2.83901391,1.65331803
3.10000000,54.10816662,3.40000000,205.12041486,3.38673884,1.60166841
3.70000000,66.41539151,4.00000000,149.26585075,3.98873414,1.37220768
4.30000000,75.37134256,4.65000000,100.77742612,4.63680925,1.07698520
5.00000000,82.42576238,5.50000000,61.49695729,5.47722558,0.77666064
6.00000000,88.57545811,6.75000000,33.73839168,6.70820393,0.52221216
7.50000000,93.63621687,8.25000000,19.42304451,8.21583836,0.36794782
9.00000000,96.54967354,9.75000000,11.72283387,9.72111105,0.26266011
10.50000000,98.30809862,11.50000000,5.70388210,11.45643924,0.15065579
12.50000000,99.44887504,13.75000000,1.91136910,13.69306394,0.06034791
15.00000000,99.92671732,16.50000000,0.24427561,16.43167673,0.00925506
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
