Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-10T16:0.:4....5..5.-04:00S03785,2025-09-10 16:0.:4....5.,H3113,PAQXOS 5.1,phar-brunaughuser,,Run6_baseline_RODOS_09102025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,398.80353891,0.67082039,0.62490637
0.90000000,15.95214156,1.00000000,409.39331604,0.99498744,0.93951231
1.10000000,24.14000788,1.20000000,412.48668866,1.19582607,1.13709964
1.30000000,32.38974165,1.40000000,406.35417988,1.39642400,1.30770029
1.50000000,40.51682525,1.65000000,387.43009945,1.64316767,1.46788584
1.80000000,52.13972823,2.00000000,346.53048610,1.98997487,1.59049816
2.20000000,66.00094768,2.40000000,285.05810819,2.39165215,1.57163604
2.60000000,77.40327200,2.85000000,205.75377056,2.83901391,1.34676153
3.10000000,87.69096053,3.40000000,114.72475056,3.38673884,0.89582019
3.70000000,94.57444556,4.00000000,47.98478909,3.98873414,0.44112633
4.30000000,97.45353291,4.65000000,16.09891351,4.63680925,0.17204539
5.00000000,98.58045686,5.50000000,3.82798151,5.47722558,0.04834455
6.00000000,98.96325501,6.75000000,2.23298922,6.70820393,0.03456283
7.50000000,99.29820339,8.25000000,1.91399076,8.21583836,0.03625841
9.00000000,99.58530200,9.75000000,1.59499230,9.72111105,0.03573716
10.50000000,99.82455085,11.50000000,0.87724576,11.45643924,0.02317056
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
