Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-10T1.:..:..........-04:00S03785,2025-09-10 1.:..:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run6_baseline_RODOS_09102025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,412.47324896,0.67082039,0.64632617
0.90000000,16.49892996,1.00000000,413.92603423,0.99498744,0.94991440
1.10000000,24.77745064,1.20000000,412.49807866,1.19582607,1.13713104
1.30000000,33.02741222,1.40000000,403.08056208,1.39642400,1.29716537
1.50000000,41.08902346,1.65000000,381.65417480,1.64316767,1.44600216
1.80000000,52.53864870,2.00000000,339.46900856,1.98997487,1.55808755
2.20000000,66.11740904,2.40000000,278.97604875,2.39165215,1.53810329
2.60000000,77.27645099,2.85000000,202.85449746,2.83901391,1.32778433
3.10000000,87.41917587,3.40000000,115.76689403,3.38673884,0.90395769
3.70000000,94.36518951,4.00000000,50.78317421,3.98873414,0.46685201
4.30000000,97.41217996,4.65000000,18.52681367,4.63680925,0.19799180
5.00000000,98.70905692,5.50000000,5.04443281,5.47722558,0.06370742
6.00000000,99.21350020,6.75000000,1.97439820,6.70820393,0.03056028
7.50000000,99.50965993,8.25000000,1.69234132,8.21583836,0.03205951
9.00000000,99.76351113,9.75000000,0.90957259,9.72111105,0.02037975
10.50000000,99.89994702,11.50000000,0.50026492,11.45643924,0.01321342
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
