Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-08T10:..:32........-04:00S03785,2025-09-08 10:..:32.....,H3113,PAQXOS 5.1,phar-brunaughuser,,Run2_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,27.18829319,0.67082039,0.04260278
0.90000000,1.08753173,1.00000000,100.97580383,0.99498744,0.23172829
1.10000000,3.10704780,1.20000000,145.20123341,1.19582607,0.40027539
1.30000000,6.01107247,1.40000000,178.05509221,1.39642400,0.57300431
1.50000000,9.57217432,1.65000000,203.85212859,1.64316767,0.77235004
1.80000000,15.68773817,2.00000000,222.45905132,1.98997487,1.02103776
2.20000000,24.58610023,2.40000000,227.42680332,2.39165215,1.25389228
2.60000000,33.68317236,2.85000000,216.62984592,2.83901391,1.41795089
3.10000000,44.51466466,3.40000000,189.44729253,3.38673884,1.47928593
3.70000000,55.88150221,4.00000000,153.19060111,3.98873414,1.40828809
4.30000000,65.07293827,4.65000000,117.37850437,4.63680925,1.25439710
5.00000000,73.28943358,5.50000000,83.03238816,5.47722558,1.04863705
6.00000000,81.59267240,6.75000000,52.03476991,6.70820393,0.80540857
7.50000000,89.39788788,8.25000000,30.96275595,8.21583836,0.58655472
9.00000000,94.04230127,9.75000000,18.92978460,9.72111105,0.42413799
10.50000000,96.88176896,11.50000000,9.95825926,11.45643924,0.26302603
12.50000000,98.87342082,13.75000000,3.42256930,13.69306394,0.10806124
15.00000000,99.72906314,16.50000000,0.85718085,16.43167673,0.03247666
18.00000000,99.98621740,19.50000000,0.04594201,19.44222210,0.00205874
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
