Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T12:5.:...8......-04:00S03785,2025-09-07 12:5.:...8...,H3113,PAQXOS 5.1,phar-brunaughuser,,Run2_baseline_RODOS_09072025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,573.63081403,0.67082039,0.89885249
0.90000000,22.94523256,1.00000000,485.85068095,0.99498744,1.11497350
1.10000000,32.66224618,1.20000000,433.08419633,1.19582607,1.19388067
1.30000000,41.32393011,1.40000000,385.67318293,1.39642400,1.24114617
1.50000000,49.03739376,1.65000000,335.09426075,1.64316767,1.26959707
1.80000000,59.09022159,2.00000000,273.32212624,1.98997487,1.25448801
2.20000000,70.02310664,2.40000000,210.97709527,2.39165215,1.16319865
2.60000000,78.46219045,2.85000000,152.51911406,2.83901391,0.99831403
3.10000000,86.08814615,3.40000000,97.41401874,3.38673884,0.76065055
3.70000000,91.93298728,4.00000000,56.61792485,3.98873414,0.52049113
4.30000000,95.33006277,4.65000000,31.20795719,4.63680925,0.33351227
5.00000000,97.51461977,5.50000000,14.93199751,5.47722558,0.18857998
6.00000000,99.00781952,6.75000000,5.16529630,6.70820393,0.07994989
7.50000000,99.78261397,8.25000000,1.24911377,8.21583836,0.02366306
9.00000000,99.96998103,9.75000000,0.20012645,9.72111105,0.00448400
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
