Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T1.:..:......9...-04:00S03785,2025-09-07 1.:..:......9,H3113,PAQXOS 5.1,phar-brunaughuser,,Run2_baseline_RODOS_09072025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,571.30229152,0.67082039,0.89520380
0.90000000,22.85209166,1.00000000,486.55787630,0.99498744,1.11659643
1.10000000,32.58324919,1.20000000,435.57635733,1.19582607,1.20075080
1.30000000,41.29477633,1.40000000,389.37319210,1.39642400,1.25305328
1.50000000,49.08224018,1.65000000,339.64522596,1.64316767,1.28683966
1.80000000,59.27159695,2.00000000,278.15211815,1.98997487,1.27665660
2.20000000,70.39768168,2.40000000,215.19642827,2.39165215,1.18646147
2.60000000,79.00553881,2.85000000,155.40077702,2.83901391,1.01717595
3.10000000,86.77557766,3.40000000,98.30923966,3.38673884,0.76764082
3.70000000,92.67413204,4.00000000,55.66607925,3.98873414,0.51174077
4.30000000,96.01409680,4.65000000,29.17917882,4.63680925,0.31183118
5.00000000,98.05663931,5.50000000,12.72666009,5.47722558,0.16072821
6.00000000,99.32930532,6.75000000,3.71277117,6.70820393,0.05746730
7.50000000,99.88622100,8.25000000,0.75852668,8.21583836,0.01436944
9.00000000,100.00000000,9.75000000,0.00000000,9.72111105,0.00000000
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
