Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T12:5.:..........-04:00S03785,2025-09-07 12:5.:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run4_baseline_RODOS_09072025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,577.38604429,0.67082039,0.90473675
0.90000000,23.09544177,1.00000000,491.70665049,0.99498744,1.12841230
1.10000000,32.92957478,1.20000000,440.15946511,1.19582607,1.21338502
1.30000000,41.73276408,1.40000000,393.33377132,1.39642400,1.26579894
1.50000000,49.59943951,1.65000000,342.85511183,1.64316767,1.29900120
1.80000000,59.88509286,2.00000000,280.24246680,1.98997487,1.28625084
2.20000000,71.09479154,2.40000000,215.83999107,2.39165215,1.19000968
2.60000000,79.72839118,2.85000000,154.49990572,2.83901391,1.01127930
3.10000000,87.45338647,3.40000000,95.89636924,3.38673884,0.74880009
3.70000000,93.20716862,4.00000000,52.63828795,3.98873414,0.48390615
4.30000000,96.36546590,4.65000000,26.70123342,4.63680925,0.28534995
5.00000000,98.23455224,5.50000000,11.41759402,5.47722558,0.14419569
6.00000000,99.37631164,6.75000000,3.40398892,6.70820393,0.05268788
7.50000000,99.88690998,8.25000000,0.75393349,8.21583836,0.01428243
9.00000000,100.00000000,9.75000000,0.00000000,9.72111105,0.00000000
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
