Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T12:..:..........-04:00S03785,2025-09-07 12:..:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run4_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,12.79226070,0.67082039,0.02004487
0.90000000,0.51169043,1.00000000,21.70899286,0.99498744,0.04981973
1.10000000,0.94587029,1.20000000,27.73206735,1.19582607,0.07644883
1.30000000,1.50051163,1.40000000,33.08780402,1.39642400,0.10648083
1.50000000,2.16226771,1.65000000,38.68594864,1.64316767,0.14657239
1.80000000,3.32284617,2.00000000,45.22657146,1.98997487,0.20757994
2.20000000,5.13190903,2.40000000,51.32870471,2.39165215,0.28299508
2.60000000,7.18505722,2.85000000,56.61814620,2.83901391,0.37059414
3.10000000,10.01596453,3.40000000,61.28965872,3.38673884,0.47857601
3.70000000,13.69334405,4.00000000,64.52199468,3.98873414,0.59315360
4.30000000,17.56466373,4.65000000,66.09658556,4.63680925,0.70635902
5.00000000,22.19142472,5.50000000,66.11871993,5.47722558,0.83503005
6.00000000,28.80329671,6.75000000,64.21767936,6.70820393,0.99397901
7.50000000,38.43594862,8.25000000,59.98039706,8.21583836,1.13626143
9.00000000,47.43300818,9.75000000,54.38203195,9.72111105,1.21847587
10.50000000,55.59031297,11.50000000,47.14689499,11.45643924,1.24528395
12.50000000,65.01969197,13.75000000,38.18393203,13.69306394,1.20558636
15.00000000,74.56567498,16.50000000,29.06746288,16.43167673,1.10130104
18.00000000,83.28591384,19.50000000,20.92518062,19.44222210,0.93769309
21.00000000,89.56346802,23.00000000,13.35892780,22.91287847,0.70569476
25.00000000,94.90703915,27.50000000,6.53930897,27.38612788,0.41293294
30.00000000,98.17669363,33.00000000,2.40101032,32.86335345,0.18193780
36.00000000,99.61729982,39.50000000,0.52356482,39.34463115,0.04749444
43.00000000,99.98379520,47.00000000,0.02025600,46.82947790,0.00218683
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
