Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-09T16:..:.........2-04:00S03785,2025-09-09 16:..:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run8_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,71.44397216,0.67082039,0.11194934
0.90000000,2.85775889,1.00000000,155.42874080,0.99498744,0.35669174
1.10000000,5.96633370,1.20000000,202.02104291,1.19582607,0.55691023
1.30000000,10.00675456,1.40000000,235.68888891,1.39642400,0.75847732
1.50000000,14.72053234,1.65000000,258.99063923,1.64316767,0.98125750
1.80000000,22.49025152,2.00000000,270.52374796,1.98997487,1.24164407
2.20000000,33.31120143,2.40000000,265.02374797,2.39165215,1.46117883
2.60000000,43.91215135,2.85000000,239.79466601,2.83901391,1.56957624
3.10000000,55.90188465,3.40000000,194.43116638,3.38673884,1.51820216
3.70000000,67.56775464,4.00000000,142.35058600,3.98873414,1.30863534
4.30000000,76.10878980,4.65000000,97.15910234,4.63680925,1.03831700
5.00000000,82.90992696,5.50000000,59.99917008,5.47722558,0.75774471
6.00000000,88.90984397,6.75000000,32.57507703,6.70820393,0.50420606
7.50000000,93.79610552,8.25000000,17.74099312,8.21583836,0.33608324
9.00000000,96.45725449,9.75000000,10.79900500,9.72111105,0.24196093
10.50000000,98.07710524,11.50000000,5.83754378,11.45643924,0.15418618
12.50000000,99.24461400,13.75000000,2.11460970,13.69306394,0.06676485
15.00000000,99.77326642,16.50000000,0.63578472,16.43167673,0.02408846
18.00000000,99.96400184,19.50000000,0.11999387,19.44222210,0.00537713
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
