Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T13:0.:.8........-04:00S03785,2025-09-07 13:0.:.8.....,H3113,PAQXOS 5.1,phar-brunaughuser,,Run8_baseline_RODOS_09072025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,565.47984198,0.67082039,0.88608030
0.90000000,22.61919368,1.00000000,483.46248207,0.99498744,1.10949285
1.10000000,32.28844332,1.20000000,433.95219821,1.19582607,1.19627349
1.30000000,40.96748728,1.40000000,388.84593849,1.39642400,1.25135651
1.50000000,48.74440605,1.65000000,339.87662505,1.64316767,1.28771638
1.80000000,58.94070481,2.00000000,278.96223234,1.98997487,1.28037485
2.20000000,70.09919410,2.40000000,216.33462754,2.39165215,1.19273681
2.60000000,78.75257920,2.85000000,156.44928381,2.83901391,1.02403896
3.10000000,86.57504339,3.40000000,98.97113651,3.38673884,0.77280919
3.70000000,92.51331158,4.00000000,55.95782021,3.98873414,0.51442276
4.30000000,95.87078080,4.65000000,29.40906479,4.63680925,0.31428792
5.00000000,97.92941533,5.50000000,13.09004471,5.47722558,0.16531749
6.00000000,99.23841980,6.75000000,4.11597679,6.70820393,0.06370823
7.50000000,99.85581632,8.25000000,0.96122454,8.21583836,0.01820932
9.00000000,100.00000000,9.75000000,0.00000000,9.72111105,0.00000000
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
