Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-02T15:07:57.6921984-04:00S03785,2025-07-02 15:07:57.6921,H3113,PAQXOS 5.1,"Romero-Gonzalez, Mariana",,LYS_Sugars_Pre_IGC_Run7_Rep1,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.18618993,0.67082039,0.00029175
0.90000000,0.00744760,1.00000000,44.16404462,0.99498744,0.10135159
1.10000000,0.89072849,1.20000000,105.21703036,1.19582607,0.29005117
1.30000000,2.99506910,1.40000000,153.46555324,1.39642400,0.49387199
1.50000000,6.06438016,1.65000000,190.47036335,1.64316767,0.72164953
1.80000000,11.77849106,2.00000000,218.65395283,1.98997487,1.00357320
2.20000000,20.52464918,2.40000000,230.23307643,2.39165215,1.26936435
2.60000000,29.73397223,2.85000000,220.98466464,2.83901391,1.44645536
3.10000000,40.78320546,3.40000000,193.08336112,3.38673884,1.50767792
3.70000000,52.36820713,4.00000000,154.51776907,3.98873414,1.42048880
4.30000000,61.63927328,4.65000000,117.01780420,4.63680925,1.25054238
5.00000000,69.83051957,5.50000000,82.25086440,5.47722558,1.03876699
6.00000000,78.05560601,6.75000000,52.05504216,6.70820393,0.80572235
7.50000000,85.86386233,8.25000000,33.34513007,8.21583836,0.63168613
9.00000000,90.86563184,9.75000000,22.77462286,9.72111105,0.51028488
10.50000000,94.28182527,11.50000000,13.96594573,11.45643924,0.36888046
12.50000000,97.07501442,13.75000000,6.79039174,13.69306394,0.21439394
15.00000000,98.77261235,16.50000000,2.81100556,16.43167673,0.10650270
18.00000000,99.61591402,19.50000000,0.95150688,19.44222210,0.04263865
21.00000000,99.90136608,23.00000000,0.24658479,22.91287847,0.01302601
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
