Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-05T11:..:..........-04:00S03785,2025-09-05 11:..:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run9_baseline_RODOS_09052025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,595.26795921,0.67082039,0.93275687
0.90000000,23.81071837,1.00000000,500.23923341,0.99498744,1.14799363
1.10000000,33.81550304,1.20000000,443.22171590,1.19582607,1.22182671
1.30000000,42.67993735,1.40000000,392.25215487,1.39642400,1.26231815
1.50000000,50.52498045,1.65000000,338.37128681,1.64316767,1.28201299
1.80000000,60.67611906,2.00000000,273.09717831,1.98997487,1.25345555
2.20000000,71.60000619,2.40000000,207.72638520,2.39165215,1.14527622
2.60000000,79.90906160,2.85000000,147.34071864,2.83901391,0.96441883
3.10000000,87.27609753,3.40000000,91.42418984,3.38673884,0.71387939
3.70000000,92.76154892,4.00000000,51.23701894,3.98873414,0.47102422
4.30000000,95.83577006,4.65000000,27.37798400,4.63680925,0.29258222
5.00000000,97.75222894,5.50000000,12.93060599,5.47722558,0.16330390
6.00000000,99.04528953,6.75000000,4.63671827,6.70820393,0.07176841
7.50000000,99.74079728,8.25000000,1.37801319,8.21583836,0.02610492
9.00000000,99.94749925,9.75000000,0.35000497,9.72111105,0.00784216
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
