Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-07T12:03:17.7244578-04:00S03785,2025-07-07 12:03:17.7244,H3113,PAQXOS 5.1,"Chen, Ziting",,LYS_Sugars_Pre_IGC_Run9_Rep3,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,2.26599782,0.67082039,0.00355071
0.90000000,0.09063991,1.00000000,80.48967754,0.99498744,0.18471489
1.10000000,1.70043346,1.20000000,151.40671844,1.19582607,0.41738202
1.30000000,4.72856783,1.40000000,202.86428173,1.39642400,0.65284349
1.50000000,8.78585347,1.65000000,240.83190408,1.64316767,0.91245812
1.80000000,16.01081059,2.00000000,265.53087343,1.98997487,1.21872789
2.20000000,26.63204553,2.40000000,269.08628902,2.39165215,1.48357720
2.60000000,37.39549709,2.85000000,248.22082782,2.83901391,1.62472970
3.10000000,49.80653848,3.40000000,203.90767008,3.38673884,1.59219878
3.70000000,62.04099868,4.00000000,150.70508829,3.98873414,1.38543866
4.30000000,71.08330398,4.65000000,104.61497362,4.63680925,1.11799618
5.00000000,78.40635213,5.50000000,66.95664915,5.47722558,0.84561247
6.00000000,85.10201705,6.75000000,39.20292710,6.70820393,0.60679375
7.50000000,90.98245611,8.25000000,24.17788114,8.21583836,0.45802287
9.00000000,94.60913828,9.75000000,16.00772402,9.72111105,0.35866673
10.50000000,97.01029689,11.50000000,9.00177614,11.45643924,0.23776258
12.50000000,98.81065211,13.75000000,3.42179302,13.69306394,0.10803673
15.00000000,99.66610037,16.50000000,1.03765237,16.43167673,0.03931432
18.00000000,99.97739608,19.50000000,0.07534639,19.44222210,0.00337640
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
