Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-05T11:3.:.....3....-04:00S03785,2025-09-05 11:3.:.....3.,H3113,PAQXOS 5.1,phar-brunaughuser,,Run._baseline_RODOS_09052025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,572.82865116,0.67082039,0.89759553
0.90000000,22.91314605,1.00000000,487.28728718,0.99498744,1.11827035
1.10000000,32.65889179,1.20000000,435.81880381,1.19582607,1.20141915
1.30000000,41.37526787,1.40000000,389.19526558,1.39642400,1.25248069
1.50000000,49.15917318,1.65000000,339.08428058,1.64316767,1.28471436
1.80000000,59.33170160,2.00000000,277.16662681,1.98997487,1.27213342
2.20000000,70.41836667,2.40000000,213.82001700,2.39165215,1.17887278
2.60000000,78.97116735,2.85000000,153.80737027,2.83901391,1.00674631
3.10000000,86.66153586,3.40000000,96.66391871,3.38673884,0.75479345
3.70000000,92.46137098,4.00000000,54.45223889,3.98873414,0.50058188
4.30000000,95.72850532,4.65000000,28.95617475,4.63680925,0.30944799
5.00000000,97.75543755,5.50000000,13.50621841,5.47722558,0.17057345
6.00000000,99.10605939,6.75000000,4.62529656,6.70820393,0.07159162
7.50000000,99.79985387,8.25000000,1.15187253,8.21583836,0.02182093
9.00000000,99.97263475,9.75000000,0.18243498,9.72111105,0.00408761
10.50000000,100.00000000,11.50000000,0.00000000,11.45643924,0.00000000
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
