Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-02T15:03:02.3068289-04:00S03785,2025-07-02 15:03:02.3068,H3113,PAQXOS 5.1,"Romero-Gonzalez, Mariana",,LYS_Sugars_Pre_IGC_Run3_Rep2,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.00167091,0.67082039,0.00000262
0.90000000,0.00006684,1.00000000,24.07937601,0.99498744,0.05525950
1.10000000,0.48165436,1.20000000,96.77036998,1.19582607,0.26676631
1.30000000,2.41706176,1.40000000,170.84523125,1.39642400,0.54980205
1.50000000,5.83396638,1.65000000,225.09324024,1.64316767,0.85282785
1.80000000,12.58676359,2.00000000,263.74666236,1.98997487,1.21053875
2.20000000,23.13663008,2.40000000,276.94314203,2.39165215,1.52689508
2.60000000,34.21435576,2.85000000,260.69354635,2.83901391,1.70636989
3.10000000,47.24903308,3.40000000,218.99901880,3.38673884,1.71003852
3.70000000,60.38897421,4.00000000,164.51019525,3.98873414,1.51234963
4.30000000,70.25958592,4.65000000,113.37080698,4.63680925,1.21156776
5.00000000,78.19554241,5.50000000,68.08299775,5.47722558,0.85983741
6.00000000,85.00384219,6.75000000,36.13415047,6.70820393,0.55929438
7.50000000,90.42396476,8.25000000,23.41540271,8.21583836,0.44357857
9.00000000,93.93627517,9.75000000,17.16099338,9.72111105,0.38450671
10.50000000,96.51042417,11.50000000,10.20266559,11.45643924,0.26948149
12.50000000,98.55095729,13.75000000,4.14710075,13.69306394,0.13093696
15.00000000,99.58773248,16.50000000,1.28712102,16.43167673,0.04876613
18.00000000,99.97386878,19.50000000,0.08710406,19.44222210,0.00390328
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
