Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-02T15:05:50.9543284-04:00S03785,2025-07-02 15:05:50.9543,H3113,PAQXOS 5.1,"Romero-Gonzalez, Mariana",,LYS_Sugars_Pre_IGC_Run3_Rep3,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.01080210,0.67082039,0.00001693
0.90000000,0.00043208,1.00000000,44.11503129,0.99498744,0.10123911
1.10000000,0.88273271,1.20000000,127.32910842,1.19582607,0.35100741
1.30000000,3.42931488,1.40000000,200.71069292,1.39642400,0.64591296
1.50000000,7.44352874,1.65000000,253.47329197,1.64316767,0.96035351
1.80000000,15.04772750,2.00000000,288.26601952,1.98997487,1.32307717
2.20000000,26.57836828,2.40000000,295.96898034,2.39165215,1.63179192
2.60000000,38.41712749,2.85000000,272.21633430,2.83901391,1.78179231
3.10000000,52.02794420,3.40000000,220.06056531,3.38673884,1.71832753
3.70000000,65.23157812,4.00000000,157.50771782,3.98873414,1.44797554
4.30000000,74.68204119,4.65000000,103.65955161,4.63680925,1.10778581
5.00000000,81.93820980,5.50000000,59.86049671,5.47722558,0.75599337
6.00000000,87.92425948,6.75000000,31.14818387,6.70820393,0.48212021
7.50000000,92.59648706,8.25000000,20.21093572,8.21583836,0.38287354
9.00000000,95.62812742,9.75000000,14.21419540,9.72111105,0.31848119
10.50000000,97.76025673,11.50000000,7.47163774,11.45643924,0.19734726
12.50000000,99.25458427,13.75000000,2.38223395,13.69306394,0.07521459
15.00000000,99.85014276,16.50000000,0.49952412,16.43167673,0.01892585
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
