Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-10T1.:..:.9........-04:00S03785,2025-09-10 1.:..:.9.....,H3113,PAQXOS 5.1,phar-brunaughuser,,Run6_baseline_RODOS_09102025_rep.,,R3,RODOS,RODOS/T4,VIBRI,FREE,PAQXOS 5.1,Mariana,SD COL-NIC 8:1 20250411
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,400.26250952,0.67082039,0.62719251
0.90000000,16.01050038,1.00000000,409.36783927,0.99498744,0.93945385
1.10000000,24.19785717,1.20000000,411.68406116,1.19582607,1.13488704
1.30000000,32.43153839,1.40000000,405.07977309,1.39642400,1.30359909
1.50000000,40.53313385,1.65000000,385.94651307,1.64316767,1.46226486
1.80000000,52.11152924,2.00000000,345.27476174,1.98997487,1.58473467
2.20000000,65.92251971,2.40000000,284.68192641,2.39165215,1.56956200
2.60000000,77.30979677,2.85000000,206.76275650,2.83901391,1.35336585
3.10000000,87.64793459,3.40000000,116.96215044,3.38673884,0.91329077
3.70000000,94.66566362,4.00000000,50.19782695,3.98873414,0.46147088
4.30000000,97.67753324,4.65000000,17.58599637,4.63680925,0.18793750
5.00000000,98.90855298,5.50000000,4.50646589,5.47722558,0.05691330
6.00000000,99.35919957,6.75000000,1.66058417,6.70820393,0.02570298
7.50000000,99.60828720,8.25000000,1.42335786,8.21583836,0.02696392
9.00000000,99.82179088,9.75000000,0.68541971,9.72111105,0.01535741
10.50000000,99.92460383,11.50000000,0.37698084,11.45643924,0.00995714
12.50000000,100.00000000,13.75000000,0.00000000,13.69306394,0.00000000
15.00000000,100.00000000,16.50000000,0.00000000,16.43167673,0.00000000
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
