Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-10T15:..:....1.....-04:00S03785,2025-09-10 15:..:....1..,H3113,PAQXOS 5.1,phar-brunaughuser,,Run6_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,6.98534404,0.67082039,0.01094571
0.90000000,0.27941376,1.00000000,108.46714650,0.99498744,0.24892009
1.10000000,2.44875669,1.20000000,173.15575034,1.19582607,0.47733744
1.30000000,5.91187170,1.40000000,218.52865011,1.39642400,0.70325345
1.50000000,10.28244470,1.65000000,251.53064429,1.64316767,0.95299325
1.80000000,17.82836403,2.00000000,271.62109532,1.98997487,1.24668065
2.20000000,28.69320784,2.40000000,271.69833748,2.39165215,1.49797844
2.60000000,39.56114134,2.85000000,249.24478648,2.83901391,1.63143202
3.10000000,52.02338067,3.40000000,204.14496799,3.38673884,1.59405170
3.70000000,64.27207874,4.00000000,150.46648674,3.98873414,1.38324518
4.30000000,73.30006795,4.65000000,103.53379312,4.63680925,1.10644186
5.00000000,80.54743347,5.50000000,64.93948946,5.47722558,0.82013725
6.00000000,87.04138241,6.75000000,36.84866341,6.70820393,0.57035381
7.50000000,92.56868193,8.25000000,21.75819211,8.21583836,0.41218457
9.00000000,95.83241074,9.75000000,13.41394297,9.72111105,0.30055085
10.50000000,97.84450219,11.50000000,6.87574671,11.45643924,0.18160808
12.50000000,99.21965153,13.75000000,2.52778868,13.69306394,0.07981021
15.00000000,99.85159870,16.50000000,0.42986272,16.43167673,0.01628654
18.00000000,99.98055752,19.50000000,0.06480827,19.44222210,0.00290417
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
