Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-08T10:4.:...833....-04:00S03785,2025-09-08 10:4.:...833.,H3113,PAQXOS 5.1,phar-brunaughuser,,Run2_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,25.73947556,0.67082039,0.04033255
0.90000000,1.02957902,1.00000000,101.08382027,0.99498744,0.23197617
1.10000000,3.05125543,1.20000000,147.02048078,1.19582607,0.40529050
1.30000000,5.99166504,1.40000000,180.79405990,1.39642400,0.58181866
1.50000000,9.60754624,1.65000000,207.17318866,1.64316767,0.78493279
1.80000000,15.82274190,2.00000000,226.01812515,1.98997487,1.03737312
2.20000000,24.86346691,2.40000000,230.79849833,2.39165215,1.27248174
2.60000000,34.09540684,2.85000000,219.34687855,2.83901391,1.43573523
3.10000000,45.06275077,3.40000000,191.04836589,3.38673884,1.49178780
3.70000000,56.52565272,4.00000000,153.63712692,3.98873414,1.41239302
4.30000000,65.74388034,4.65000000,116.99885800,4.63680925,1.25033991
5.00000000,73.93380040,5.50000000,82.14713292,5.47722558,1.03745694
6.00000000,82.14851369,6.75000000,51.00903287,6.70820393,0.78953193
7.50000000,89.79986862,8.25000000,30.12893696,8.21583836,0.57075896
9.00000000,94.31920916,9.75000000,18.31104614,9.72111105,0.41027463
10.50000000,97.06586608,11.50000000,9.51618026,11.45643924,0.25134946
12.50000000,98.96910214,13.75000000,3.17213582,13.69306394,0.10015427
15.00000000,99.76213609,16.50000000,0.76304580,16.43167673,0.02891010
18.00000000,99.99104983,19.50000000,0.02983390,19.44222210,0.00133691
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
