Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-08T10:..:......0...-04:00S03785,2025-09-08 10:..:......0,H3113,PAQXOS 5.1,phar-brunaughuser,,Run2_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,7.91716779,0.67082039,0.01240583
0.90000000,0.31668671,1.00000000,88.47319120,0.99498744,0.20303617
1.10000000,2.08615054,1.20000000,139.58676598,1.19582607,0.38479802
1.30000000,4.87788585,1.40000000,176.90269330,1.39642400,0.56929574
1.50000000,8.41593972,1.65000000,206.54026574,1.64316767,0.78253479
1.80000000,14.61214769,2.00000000,228.52956449,1.98997487,1.04890007
2.20000000,23.75333027,2.40000000,235.41685103,2.39165215,1.29794451
2.60000000,33.17000431,2.85000000,224.97729085,2.83901391,1.47258910
3.10000000,44.41886886,3.40000000,196.60364078,3.38673884,1.53516577
3.70000000,56.21508730,4.00000000,158.19224161,3.98873414,1.45426840
4.30000000,65.70662180,4.65000000,120.16900382,4.63680925,1.28421853
5.00000000,74.11845207,5.50000000,83.77932869,5.47722558,1.05807035
6.00000000,82.49638494,6.75000000,51.28975583,6.70820393,0.79387703
7.50000000,90.18984831,8.25000000,29.74538545,8.21583836,0.56349300
9.00000000,94.65165613,9.75000000,17.75756486,9.72111105,0.39787341
10.50000000,97.31529086,11.50000000,8.98626366,11.45643924,0.23735285
12.50000000,99.11254359,13.75000000,2.80913128,13.69306394,0.08869308
15.00000000,99.81482641,16.50000000,0.60113719,16.43167673,0.02277574
18.00000000,99.99516757,19.50000000,0.01610811,19.44222210,0.00072183
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
